class,method,descriptor,tier,total_issues,orig_insns,recomp_insns,insn_diff,issue_breakdown,n_branch_inv,n_branch_target,n_const_ref,n_goto_swap,n_opcode,n_orig_extra,n_recomp_extra,n_return_swap,n_var_slot
zombie/inventory/InventoryItem,getReplaceOnUseOnString,()Ljava/lang/String;,SORTED_MULTISET,21,25,23,-2,const_ref:8; opcode:5; var_slot:4; orig_extra:2; branch_target:1; return_swap:1,,1,8,,5,2,,1,4
zombie/iso/objects/IsoBarricade,WeaponHit,(Lzombie/characters/IsoGameCharacter;Lzombie/inventory/types/HandWeapon;)V,STRUCTURAL,21,145,145,0,branch_target:17; branch_inv:2; goto_swap:1; const_ref:1,2,17,1,1,,,,,
zombie/iso/objects/IsoTrap,initSprite,(Lzombie/inventory/types/HandWeapon;)V,SORTED_MULTISET,21,80,82,2,opcode:10; var_slot:5; branch_target:3; recomp_extra:2; return_swap:1,,3,,,10,,2,1,5
zombie/network/FakeClientManager$Player,getNearestPlayer,()Lzombie/network/FakeClientManager$PlayerManager$RemotePlayer;,SORTED_MULTISET,21,46,44,-2,const_ref:11; var_slot:4; opcode:3; goto_swap:1; return_swap:1; orig_extra:1,,,11,1,3,1,,1,4
zombie/vehicles/PathFindState2,execute,(Lzombie/characters/IsoGameCharacter;)V,STRUCTURAL,21,93,93,0,const_ref:11; branch_target:7; goto_swap:3,,7,11,3,,,,,
zombie/core/skinnedmodel/HelperFunctions,returnMatrix,(Lorg/lwjgl/util/vector/Matrix4f;)V,STRUCTURAL,22,26,25,-1,opcode:14; goto_swap:3; var_slot:2; branch_inv:1; const_ref:1; orig_extra:1,1,,1,3,14,1,,,2
zombie/core/utils/ExpandableBooleanList,setValue,(IZ)V,SORTED_MULTISET,22,77,79,2,opcode:10; var_slot:4; recomp_extra:4; goto_swap:2; branch_target:1; return_swap:1,,1,,2,10,,4,1,4
zombie/network/ServerChunkLoader$SaveChunkThread,addLoadedJob,(Lzombie/iso/IsoChunk;)V,SORTED_MULTISET,22,45,46,1,const_ref:9; opcode:7; recomp_extra:3; var_slot:2; return_swap:1,,,9,,7,,3,1,2
zombie/popman/LoadedAreas,isOnEdge,(II)Z,STRUCTURAL,22,129,129,0,opcode:6; const_ref:5; var_slot:5; branch_target:2; goto_swap:2; branch_inv:1; return_swap:1,1,2,5,2,6,,,1,5
zombie/core/textures/TextureFBO,init,(Lzombie/interfaces/ITexture;Z)V,SORTED_MULTISET,23,21,29,8,opcode:9; var_slot:5; recomp_extra:4; const_ref:2; goto_swap:2; return_swap:1,,,2,2,9,,4,1,5
zombie/network/PlayerDownloadServer$WorkerThread,runInner,()V,SORTED_MULTISET,23,50,48,-2,opcode:8; var_slot:7; goto_swap:4; orig_extra:2; branch_target:1; return_swap:1,,1,,4,8,2,,1,7
zombie/chat/defaultChats/WhisperChat,init,()V,SORTED_MULTISET,24,48,47,-1,opcode:15; var_slot:4; goto_swap:2; return_swap:2; branch_target:1,,1,,2,15,,,2,4
zombie/inventory/CompressIdenticalItems,setCompareItem,(Lzombie/inventory/CompressIdenticalItems$PerThreadData;Lzombie/inventory/InventoryItem;)Z,SORTED_MULTISET,24,56,55,-1,var_slot:11; opcode:7; goto_swap:4; return_swap:2,,,,4,7,,,2,11
zombie/vehicles/BaseVehicle,checkCollision,(Lzombie/characters/IsoGameCharacter;)Lzombie/vehicles/BaseVehicle$HitVars;,STRUCTURAL,24,38,36,-2,const_ref:7; var_slot:6; opcode:5; return_swap:3; branch_target:1; goto_swap:1; orig_extra:1,,1,7,1,5,1,,3,6
zombie/gameStates/AnimationViewerState,fromLua1,(Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;,STRUCTURAL,25,24,22,-2,opcode:16; var_slot:7; orig_extra:2,,,,,16,2,,,7
zombie/gameStates/MainScreenState,exit,()V,STRUCTURAL,25,48,48,0,opcode:8; const_ref:7; goto_swap:5; var_slot:2; branch_target:1; return_swap:1; orig_extra:1,,1,7,5,8,1,,1,2
zombie/iso/IsoChunkMap,copy,(Lzombie/iso/IsoChunkMap;)V,STRUCTURAL,27,81,83,2,const_ref:21; var_slot:6,,,21,,,,,,6
zombie/network/FakeClientManager$ZombieSimulator,process,()V,STRUCTURAL,27,76,76,0,branch_target:8; var_slot:8; const_ref:7; opcode:4,,8,7,,4,,,,8
zombie/Lua/LuaManager$GlobalObject,proceedPM,(Ljava/lang/String;)Ljava/lang/String;,SORTED_MULTISET,28,40,39,-1,opcode:9; const_ref:7; var_slot:6; return_swap:3; branch_target:1; goto_swap:1; orig_extra:1,,1,7,1,9,1,,3,6
zombie/core/Core,getMaxTextureSizeFromOption,(I)I,SORTED_MULTISET,28,17,20,3,opcode:11; recomp_extra:7; goto_swap:6; var_slot:1; const_ref:1; branch_target:1; return_swap:1,,1,1,6,11,,7,1,1
zombie/core/raknet/UdpEngine,Connect,(Ljava/lang/String;ILjava/lang/String;Z)V,STRUCTURAL,28,50,48,-2,var_slot:12; opcode:6; return_swap:3; goto_swap:2; const_ref:2; orig_extra:2; branch_target:1,,1,2,2,6,2,,3,12
zombie/core/utils/BooleanGrid,setValue,(IIZ)V,SORTED_MULTISET,28,52,54,2,opcode:10; branch_target:6; recomp_extra:4; goto_swap:3; var_slot:3; const_ref:1; return_swap:1,,6,1,3,10,,4,1,3
zombie/gameStates/AttachmentEditorState,fromLua0,(Ljava/lang/String;)Ljava/lang/Object;,STRUCTURAL,28,24,22,-2,opcode:15; var_slot:9; return_swap:2; orig_extra:2,,,,,15,2,,2,9
zombie/network/NetChecksum$Comparer,update,()V,SORTED_MULTISET,28,28,25,-3,opcode:13; goto_swap:5; const_ref:3; orig_extra:3; var_slot:2; branch_target:1; return_swap:1,,1,3,5,13,3,,1,2
zombie/popman/NetworkZombieSimulator,added,()V,STRUCTURAL,28,71,71,0,branch_target:9; var_slot:8; const_ref:7; opcode:4,,9,7,,4,,,,8
zombie/vehicles/VehiclesDB2$SQLStore,isInDB,(I)Z,SORTED_MULTISET,28,35,31,-4,opcode:8; const_ref:5; var_slot:5; orig_extra:5; goto_swap:3; return_swap:2,,,5,3,8,5,,2,5
zombie/worldMap/editor/WorldMapEditorState,fromLua0,(Ljava/lang/String;)Ljava/lang/Object;,STRUCTURAL,28,24,22,-2,opcode:15; var_slot:9; return_swap:2; orig_extra:2,,,,,15,2,,2,9
zombie/audio/parameters/ParameterFootstepMaterial,getMaterial,()Lzombie/audio/parameters/ParameterFootstepMaterial$FootstepMaterial;,STRUCTURAL,29,87,85,-2,opcode:9; var_slot:6; branch_target:5; return_swap:3; const_ref:2; goto_swap:2; orig_extra:2,,5,2,2,9,2,,3,6
zombie/core/skinnedmodel/model/ModelOutlines,renderTexture,(Lzombie/interfaces/ITexture;IIII)V,SORTED_MULTISET,29,81,83,2,const_ref:18; var_slot:10; opcode:1,,,18,,1,,,,10
zombie/inventory/CompressIdenticalItems,areItemsIdentical,(Lzombie/inventory/CompressIdenticalItems$PerThreadData;Lzombie/inventory/InventoryItem;Lzombie/inventory/InventoryItem;)Z,FUZZY_COMPUTATION,29,146,149,3,var_slot:11; opcode:8; goto_swap:4; recomp_extra:4; return_swap:2,,,,4,8,,4,2,11
zombie/savefile/PlayerDB$SQLPlayerStore,isInDB,(I)Z,SORTED_MULTISET,29,35,31,-4,opcode:8; const_ref:6; var_slot:5; orig_extra:5; goto_swap:3; return_swap:2,,,6,3,8,5,,2,5
zombie/worldMap/WorldMapRenderer$Drawer,outlinePolygon,(Lzombie/worldMap/WorldMapGeometry;FFF)V,SORTED_MULTISET,29,102,106,4,const_ref:21; branch_target:4; opcode:2; var_slot:2,,4,21,,2,,,,2
zombie/core/skinnedmodel/advancedanimation/AnimLayer,<clinit>,()V,SORTED_MULTISET,30,33,41,8,opcode:29; const_ref:1,,,1,,29,,,,
zombie/core/textures/ImageData,setData,(Lzombie/core/textures/Pcx;)V,SORTED_MULTISET,30,105,105,0,const_ref:11; opcode:11; branch_target:4; var_slot:3; goto_swap:1,,4,11,1,11,,,,3
zombie/network/chat/ChatServer,processMessageFromPlayerPacket,(Ljava/nio/ByteBuffer;)V,FUZZY_COMPUTATION,30,47,45,-2,opcode:9; const_ref:8; var_slot:6; goto_swap:3; return_swap:2; orig_extra:2,,,8,3,9,2,,2,6
zombie/MapGroups,getLotDirectories,(Ljava/lang/String;)Ljava/util/ArrayList;,STRUCTURAL,31,72,70,-2,const_ref:23; return_swap:3; opcode:2; goto_swap:1; var_slot:1; orig_extra:1,,,23,1,2,1,,3,1
zombie/characters/IsoPlayer,getControllerAimDir,(Lzombie/iso/Vector2;)Lzombie/iso/Vector2;,STRUCTURAL,31,74,72,-2,const_ref:11; opcode:6; branch_target:4; var_slot:4; return_swap:3; branch_inv:1; goto_swap:1; orig_extra:1,1,4,11,1,6,1,,3,4
zombie/iso/IsoChunkMap,processAllLoadGridSquare,()V,FUZZY_COMPUTATION,31,52,50,-2,const_ref:11; opcode:7; goto_swap:5; var_slot:3; branch_target:2; orig_extra:2; return_swap:1,,2,11,5,7,2,,1,3
zombie/worldMap/WorldMapRenderer$Drawer,outlineTriangles,(Lzombie/worldMap/WorldMapGeometry;FFF)V,SORTED_MULTISET,31,158,160,2,const_ref:29; opcode:1; var_slot:1,,,29,,1,,,,1
zombie/ZomboidFileSystem,getString,(Ljava/lang/String;)Ljava/lang/String;,STRUCTURAL,32,42,40,-2,var_slot:14; opcode:9; const_ref:5; orig_extra:2; branch_target:1; return_swap:1,,1,5,,9,2,,1,14
zombie/fileSystem/FileSystemImpl,runAsync,(Lzombie/fileSystem/FileSystemImpl$AsyncItem;)I,SORTED_MULTISET,32,45,44,-1,opcode:18; var_slot:8; goto_swap:3; branch_inv:1; return_swap:1; orig_extra:1,1,,,3,18,1,,1,8
zombie/iso/ChunkSaveWorker,Update,(Lzombie/iso/IsoChunk;)V,STRUCTURAL,32,54,56,2,opcode:13; var_slot:11; branch_target:5; branch_inv:1; return_swap:1; goto_swap:1,1,5,,1,13,,,1,11
zombie/ZomboidFileSystem,isKnownFile,(Ljava/lang/String;)Z,STRUCTURAL,33,42,40,-2,var_slot:14; opcode:10; const_ref:5; orig_extra:2; branch_target:1; return_swap:1,,1,5,,10,2,,1,14
zombie/ai/states/BumpedState,enter,(Lzombie/characters/IsoGameCharacter;)V,SORTED_MULTISET,33,77,76,-1,opcode:17; var_slot:11; goto_swap:2; branch_target:1; return_swap:1; recomp_extra:1,,1,,2,17,,1,1,11
zombie/ai/states/SwipeStatePlayer,shouldIgnoreProneZombies,(Lzombie/characters/IsoGameCharacter;Ljava/util/ArrayList;F)Z,SORTED_MULTISET,33,67,69,2,opcode:16; var_slot:8; goto_swap:4; branch_target:3; recomp_extra:2,,3,,4,16,,2,,8
zombie/core/physics/CarController,<clinit>,()V,SORTED_MULTISET,33,40,42,2,opcode:30; const_ref:3,,,3,,30,,,,
zombie/iso/SpawnPoints,parseServerSpawnPoint,()Z,SORTED_MULTISET,33,72,72,0,opcode:16; var_slot:4; return_swap:4; goto_swap:3; branch_target:2; const_ref:2; branch_inv:1; recomp_extra:1,1,2,2,3,16,,1,4,4
zombie/iso/objects/IsoBarricade,Damage,(I)V,SORTED_MULTISET,33,75,76,1,opcode:12; branch_target:7; var_slot:6; goto_swap:3; const_ref:2; recomp_extra:2; return_swap:1,,7,2,3,12,,2,1,6
zombie/iso/objects/IsoMolotovCocktail,Explode,()V,SORTED_MULTISET,33,53,51,-2,opcode:15; var_slot:9; return_swap:3; branch_target:2; branch_inv:1; goto_swap:1; const_ref:1; orig_extra:1,1,2,1,1,15,1,,3,9
zombie/network/ServerMap,getRandomSquareFromCell,(II)Lzombie/iso/IsoGridSquare;,SORTED_MULTISET,33,66,68,2,var_slot:13; opcode:13; const_ref:4; recomp_extra:2; return_swap:1,,,4,,13,,2,1,13
zombie/core/raknet/TestClient,decode,(Ljava/nio/ByteBuffer;)V,STRUCTURAL,34,88,87,-1,opcode:20; branch_target:12; goto_swap:1; orig_extra:1,,12,,1,20,1,,,
zombie/core/textures/PNGDecoder,<init>,(Ljava/io/InputStream;Z)V,SORTED_MULTISET,34,90,89,-1,opcode:21; var_slot:6; goto_swap:5; return_swap:1; orig_extra:1,,,,5,21,1,,1,6
zombie/core/znet/SteamWorkshopItem,validateMediaFolder,(Ljava/nio/file/Path;)Ljava/lang/String;,STRUCTURAL,34,54,52,-2,opcode:9; var_slot:8; goto_swap:7; return_swap:5; branch_target:4; recomp_extra:1,,4,,7,9,,1,5,8
zombie/fileSystem/FileSystemImpl,cancelAsync,(I)V,SORTED_MULTISET,34,86,85,-1,opcode:17; var_slot:9; goto_swap:5; branch_inv:1; branch_target:1; orig_extra:1,1,1,,5,17,1,,,9
zombie/iso/objects/IsoFire,update,()V,SORTED_MULTISET,34,435,434,-1,branch_target:21; opcode:9; goto_swap:3; var_slot:1,,21,,3,9,,,,1
zombie/network/GameServer,lambda$launchCommandHandler$1,()V,SORTED_MULTISET,34,38,39,1,opcode:12; const_ref:10; goto_swap:6; var_slot:5; branch_target:1,,1,10,6,12,,,,5
zombie/scripting/ScriptParser$Block,getBlock,(Ljava/lang/String;Ljava/lang/String;)Lzombie/scripting/ScriptParser$Block;,SORTED_MULTISET,34,29,34,5,opcode:15; var_slot:11; goto_swap:4; recomp_extra:4,,,,4,15,,4,,11
zombie/Lua/LuaManager$GlobalObject,deleteAllGameModeSaves,(Ljava/lang/String;)V,CORE_OPS_ONLY,35,27,31,4,opcode:17; var_slot:8; recomp_extra:4; goto_swap:3; return_swap:2; const_ref:1,,,1,3,17,,4,2,8
zombie/core/Clipboard,getClipboard,()Ljava/lang/String;,SORTED_MULTISET,35,33,39,6,opcode:17; var_slot:9; return_swap:4; recomp_extra:3; branch_target:1; goto_swap:1,,1,,1,17,,3,4,9
zombie/core/textures/TextureCombiner,createTexture,(II)Lzombie/core/textures/Texture;,SORTED_MULTISET,35,88,90,2,const_ref:31; opcode:4,,,31,,4,,,,
zombie/iso/objects/IsoWorldInventoryObject,load,(Ljava/nio/ByteBuffer;IZ)V,SORTED_MULTISET,35,181,183,2,branch_target:14; opcode:11; var_slot:5; recomp_extra:2; goto_swap:1; const_ref:1; return_swap:1,,14,1,1,11,,2,1,5
zombie/iso/areas/IsoBuilding,hasWater,()Z,SORTED_MULTISET,36,43,40,-3,opcode:13; var_slot:10; goto_swap:7; branch_target:2; return_swap:2; branch_inv:1; recomp_extra:1,1,2,,7,13,,1,2,10
zombie/ai/GameCharacterAIBrain,HasBlockedMemory,(IIIIII)Z,SORTED_MULTISET,37,118,116,-2,const_ref:27; opcode:4; var_slot:3; goto_swap:1; return_swap:1; orig_extra:1,,,27,1,4,1,,1,3
zombie/core/skinnedmodel/HelperFunctions,CreateFromQuaternionPositionScale,(Lorg/lwjgl/util/vector/Vector3f;Lorg/lwjgl/util/vector/Quaternion;Lorg/lwjgl/util/vector/Vector3f;Lorg/lwjgl/util/vector/Matrix4f;Lorg/lwjgl/util/vector/Matrix4f;Lorg/lwjgl/util/vector/Matrix4f;Lorg/lwjgl/util/vector/Matrix4f;)V,STRUCTURAL,37,38,32,-6,var_slot:16; opcode:13; orig_extra:6; const_ref:1; return_swap:1,,,1,,13,6,,1,16
zombie/inventory/types/Moveable,ReadFromWorldSprite,(Ljava/lang/String;)Z,STRUCTURAL,37,335,337,2,branch_target:23; const_ref:10; opcode:2; var_slot:2,,23,10,,2,,,,2
zombie/iso/IsoChunk,RandomizeModel,(Lzombie/vehicles/BaseVehicle;Lzombie/iso/IsoMetaGrid$Zone;Ljava/lang/String;Lzombie/vehicles/VehicleType;)Z,STRUCTURAL,37,87,85,-2,const_ref:25; opcode:5; return_swap:3; var_slot:2; goto_swap:1; orig_extra:1,,,25,1,5,1,,3,2
zombie/iso/IsoCell,getRelativeGridSquare,(III)Lzombie/iso/IsoGridSquare;,SORTED_MULTISET,38,40,44,4,opcode:18; var_slot:14; recomp_extra:4; const_ref:1; return_swap:1,,,1,,18,,4,1,14
zombie/ui/UITextBox2,Paginate,()V,STRUCTURAL,38,210,210,0,branch_target:12; var_slot:12; opcode:9; goto_swap:5,,12,,5,9,,,,12
zombie/ai/states/ClimbOverWallState,getFence,(Lzombie/characters/IsoGameCharacter;)Lzombie/iso/IsoObject;,STRUCTURAL,39,74,74,0,opcode:15; var_slot:8; goto_swap:6; recomp_extra:6; branch_target:2; branch_inv:1; return_swap:1,1,2,,6,15,,6,1,8
zombie/iso/IsoChunk,LoadOrCreate,(IILjava/nio/ByteBuffer;)Z,STRUCTURAL,39,72,72,0,const_ref:24; opcode:6; var_slot:4; branch_target:3; return_swap:2,,3,24,,6,,,2,4
zombie/iso/IsoMovingObject,canHaveMultipleHits,()B,STRUCTURAL,39,111,110,-1,const_ref:18; branch_target:5; opcode:5; goto_swap:3; var_slot:3; return_swap:3; branch_inv:1; orig_extra:1,1,5,18,3,5,1,,3,3
zombie/core/textures/ImageData,setData,(Ljava/awt/image/Raster;)V,SORTED_MULTISET,40,126,126,0,opcode:15; const_ref:14; branch_target:6; var_slot:3; goto_swap:2,,6,14,2,15,,,,3
zombie/core/raknet/VoiceManager$3,call,(Lse/krka/kahlua/vm/LuaCallFrame;I)I,STRUCTURAL,41,49,49,0,opcode:19; var_slot:15; return_swap:2; goto_swap:2; branch_target:1; branch_inv:1; const_ref:1,1,1,1,2,19,,,2,15
zombie/iso/IsoCell,getChunkForGridSquare,(III)Lzombie/iso/IsoChunk;,SORTED_MULTISET,41,74,74,0,var_slot:15; opcode:15; branch_target:3; goto_swap:3; return_swap:3; branch_inv:1; orig_extra:1,1,3,,3,15,1,,3,15
zombie/core/IndieFileLoader,getStreamReader,(Ljava/lang/String;Z)Ljava/io/InputStreamReader;,SORTED_MULTISET,42,39,43,4,opcode:22; var_slot:13; goto_swap:4; recomp_extra:2; return_swap:1,,,,4,22,,2,1,13
zombie/core/znet/SteamWorkshopItem,validatePreviewImage,(Ljava/nio/file/Path;)Ljava/lang/String;,STRUCTURAL,42,86,84,-2,var_slot:14; opcode:10; goto_swap:9; return_swap:5; const_ref:2; branch_target:1; recomp_extra:1,,1,2,9,10,,1,5,14
zombie/iso/IsoMetaGrid,getRandomRoomNotInRange,(FFI)Lzombie/iso/RoomDef;,SORTED_MULTISET,42,37,41,4,opcode:25; var_slot:10; recomp_extra:4; const_ref:2; return_swap:1,,,2,,25,,4,1,10
zombie/characters/IsoGameCharacter,shouldBecomeZombieAfterDeath,()Z,SORTED_MULTISET,43,45,39,-6,opcode:15; const_ref:9; orig_extra:6; var_slot:4; goto_swap:4; return_swap:4; branch_target:1,,1,9,4,15,6,,4,4
zombie/core/Collections/NonBlockingSetInt$NBSI,add,(I)Z,SORTED_MULTISET,44,72,74,2,opcode:23; var_slot:12; return_swap:5; const_ref:2; recomp_extra:2,,,2,,23,,2,5,12
zombie/gameStates/DebugGlobalObjectState,renderScene,()V,SORTED_MULTISET,44,127,129,2,const_ref:37; branch_target:5; opcode:1; var_slot:1,,5,37,,1,,,,1
zombie/iso/IsoCell,getRandomOutdoorTile,()Lzombie/iso/IsoGridSquare;,SORTED_MULTISET,44,42,44,2,opcode:29; var_slot:12; recomp_extra:2; return_swap:1,,,,,29,,2,1,12
zombie/network/PassengerMap,clientReceivePacket,(Ljava/nio/ByteBuffer;)V,STRUCTURAL,44,60,59,-1,var_slot:17; opcode:16; goto_swap:3; branch_target:2; const_ref:2; orig_extra:2; branch_inv:1; return_swap:1,1,2,2,3,16,2,,1,17
zombie/radio/StorySounds/SLSoundManager,updateKeys,()V,STRUCTURAL,44,38,37,-1,const_ref:19; var_slot:12; branch_target:4; opcode:3; goto_swap:3; orig_extra:2; return_swap:1,,4,19,3,3,2,,1,12
zombie/core/textures/Texture,renderwallnw,(FFFFIIIIII)V,SORTED_MULTISET,45,221,225,4,const_ref:39; branch_target:2; opcode:2; var_slot:2,,2,39,,2,,,,2
zombie/network/FakeClientManager$Client,getBooleanVariables,()I,FUZZY_COMPUTATION,45,43,43,0,opcode:17; var_slot:9; const_ref:8; goto_swap:8; branch_target:1; return_swap:1; recomp_extra:1,,1,8,8,17,,1,1,9
zombie/core/Collections/NonBlockingSetInt$NBSI,remove,(I)Z,SORTED_MULTISET,46,77,79,2,opcode:25; var_slot:12; return_swap:5; const_ref:2; recomp_extra:2,,,2,,25,,2,5,12
zombie/iso/objects/IsoCarBatteryCharger,configureSprite,(Lzombie/inventory/InventoryItem;Lzombie/iso/sprite/IsoSprite;)Lzombie/iso/sprite/IsoSprite;,SORTED_MULTISET,46,92,94,2,var_slot:21; branch_target:11; opcode:10; recomp_extra:2; const_ref:1; return_swap:1,,11,1,,10,,2,1,21
zombie/characters/IsoGameCharacter,startPlaybackGameVariables,()Lzombie/core/skinnedmodel/advancedanimation/AnimationVariableSource;,STRUCTURAL,47,66,65,-1,const_ref:24; opcode:10; branch_target:4; var_slot:4; goto_swap:3; return_swap:1; orig_extra:1,,4,24,3,10,1,,1,4
zombie/core/raknet/UdpConnection,calcCountPlayersInRelevantPosition,()V,STRUCTURAL,47,56,55,-1,var_slot:14; opcode:13; const_ref:8; goto_swap:7; branch_target:2; branch_inv:1; return_swap:1; orig_extra:1,1,2,8,7,13,1,,1,14
zombie/globalObjects/SGlobalObjectSystem,load,()V,SORTED_MULTISET,47,128,124,-4,opcode:13; var_slot:11; goto_swap:9; branch_target:5; const_ref:4; orig_extra:4; return_swap:1,,5,4,9,13,4,,1,11
zombie/core/textures/Texture,split2D,([I[I)[[Lzombie/core/textures/Texture;,SORTED_MULTISET,48,93,97,4,const_ref:44; opcode:2; var_slot:2,,,44,,2,,,,2
zombie/radio/RadioDebugConsole,update,()V,STRUCTURAL,48,66,65,-1,const_ref:19; var_slot:12; branch_target:8; opcode:3; goto_swap:3; orig_extra:2; return_swap:1,,8,19,3,3,2,,1,12
zombie/radio/RadioXmlReader,createGlobal,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Lzombie/radio/globals/RadioGlobal;,STRUCTURAL,48,50,50,0,opcode:27; var_slot:10; return_swap:8; branch_target:2; branch_inv:1,1,2,,,27,,,8,10
zombie/vehicles/test_IsQuadranglesAreTransposed,testIsQuadranglesAreTransposed_13,()V,SORTED_MULTISET,48,54,58,4,opcode:36; var_slot:8; const_ref:4,,,4,,36,,,,8
zombie/iso/IsoObjectPicker,PickCorpse,(II)Lzombie/iso/IsoObject;,STRUCTURAL,50,106,105,-1,opcode:21; var_slot:12; branch_target:5; goto_swap:5; return_swap:5; branch_inv:1; orig_extra:1,1,5,,5,21,1,,5,12
zombie/iso/weather/fx/WeatherFxMask,scanForTiles,(I)V,STRUCTURAL,50,147,147,0,const_ref:49; branch_target:1,,1,49,,,,,,
zombie/network/FakeClientManager$Client,update,()V,STRUCTURAL,50,142,141,-1,const_ref:35; branch_target:12; opcode:1; goto_swap:1; orig_extra:1,,12,35,1,1,1,,,
zombie/network/GameServerWorkshopItems,QueryItemDetails,(Ljava/util/ArrayList;)Z,STRUCTURAL,50,78,78,0,opcode:16; var_slot:14; goto_swap:11; const_ref:4; return_swap:3; branch_target:1; orig_extra:1,,1,4,11,16,1,,3,14
zombie/vehicles/CollideWithObstacles$CCObjectOutline,setWest,(III[[Lzombie/vehicles/CollideWithObstacles$CCObjectOutline;)V,STRUCTURAL,50,73,71,-2,opcode:16; var_slot:15; const_ref:11; goto_swap:4; orig_extra:2; branch_inv:1; return_swap:1,1,,11,4,16,2,,1,15
zombie/vehicles/CollideWithObstacles$CCObjectOutline,setNorth,(III[[Lzombie/vehicles/CollideWithObstacles$CCObjectOutline;)V,STRUCTURAL,50,73,71,-2,opcode:16; var_slot:15; const_ref:11; goto_swap:4; orig_extra:2; branch_inv:1; return_swap:1,1,,11,4,16,2,,1,15
zombie/vehicles/PolygonalMap2$ObjectOutline,setWest,(III[[Lzombie/vehicles/PolygonalMap2$ObjectOutline;)V,STRUCTURAL,50,73,71,-2,opcode:16; var_slot:15; const_ref:11; goto_swap:4; orig_extra:2; branch_inv:1; return_swap:1,1,,11,4,16,2,,1,15
zombie/vehicles/PolygonalMap2$ObjectOutline,setNorth,(III[[Lzombie/vehicles/PolygonalMap2$ObjectOutline;)V,STRUCTURAL,50,73,71,-2,opcode:16; var_slot:15; const_ref:11; goto_swap:4; orig_extra:2; branch_inv:1; return_swap:1,1,,11,4,16,2,,1,15
zombie/SandboxOptions,load,(Ljava/nio/ByteBuffer;)V,STRUCTURAL,51,133,134,1,const_ref:29; branch_target:11; var_slot:9; goto_swap:1; recomp_extra:1,,11,29,1,,,1,,9
zombie/iso/objects/IsoDeadBody,updateRotting,(FFZ)V,SORTED_MULTISET,51,278,279,1,branch_target:30; const_ref:18; goto_swap:3,,30,18,3,,,,,
zombie/network/GameClient,lambda$startLocalServer$0,()V,SORTED_MULTISET,51,78,80,2,const_ref:23; opcode:10; goto_swap:10; var_slot:4; recomp_extra:2; branch_target:1; return_swap:1,,1,23,10,10,,2,1,4
zombie/ai/states/SwipeStatePlayer,isProneTargetBetter,(Lzombie/characters/IsoGameCharacter;Lzombie/network/packets/hit/HitInfo;Lzombie/network/packets/hit/HitInfo;)Z,SORTED_MULTISET,52,64,68,4,opcode:30; var_slot:13; recomp_extra:4; return_swap:3; const_ref:1; goto_swap:1,,,1,1,30,,4,3,13
zombie/SandboxOptions,load,()V,SORTED_MULTISET,53,78,80,2,const_ref:22; var_slot:10; opcode:9; goto_swap:8; return_swap:2; recomp_extra:2,,,22,8,9,,2,2,10
zombie/core/skinnedmodel/population/OutfitManager,debugOutfit,(Lzombie/core/skinnedmodel/population/Outfit;)V,STRUCTURAL,53,61,62,1,opcode:24; var_slot:16; goto_swap:9; branch_target:2; branch_inv:1; orig_extra:1,1,2,,9,24,1,,,16
zombie/iso/objects/IsoFireManager$FireSounds$Slot,playSound,(Lzombie/iso/objects/IsoFire;)V,STRUCTURAL,53,91,93,2,opcode:30; var_slot:12; goto_swap:6; recomp_extra:4; return_swap:1,,,,6,30,,4,1,12
zombie/profanity/ProfanityFilter,filterString,(Ljava/lang/String;)Ljava/lang/String;,STRUCTURAL,54,77,73,-4,opcode:21; var_slot:12; branch_target:6; const_ref:4; goto_swap:4; orig_extra:4; return_swap:3,,6,4,4,21,4,,3,12
zombie/characters/action/ActionContext,setPlaybackStateSnapshot,(Lzombie/characters/action/ActionStateSnapshot;)V,SORTED_MULTISET,55,84,83,-1,var_slot:23; opcode:20; goto_swap:5; branch_target:4; return_swap:1; const_ref:1; orig_extra:1,,4,1,5,20,1,,1,23
zombie/erosion/categories/NatureTrees,init,()V,STRUCTURAL,55,294,294,0,const_ref:52; branch_target:3,,3,52,,,,,,
zombie/network/ServerWorldDatabase,changePwd,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,STRUCTURAL,55,53,49,-4,opcode:22; var_slot:19; const_ref:7; orig_extra:4; return_swap:3,,,7,,22,4,,3,19
zombie/vehicles/AttackVehicleState,isPassengerExposed,(Lzombie/characters/IsoGameCharacter;)Z,FUZZY_COMPUTATION,55,80,82,2,opcode:20; var_slot:17; goto_swap:9; const_ref:4; branch_target:2; branch_inv:1; return_swap:1; orig_extra:1,1,2,4,9,20,1,,1,17
zombie/network/chat/ChatServer,removeFactionChat,(Ljava/lang/String;)V,SORTED_MULTISET,56,54,56,2,opcode:31; var_slot:19; goto_swap:2; recomp_extra:2; const_ref:1; return_swap:1,,,1,2,31,,2,1,19
zombie/network/chat/ChatServer,removeSafehouseChat,(Ljava/lang/String;)V,SORTED_MULTISET,56,54,56,2,opcode:31; var_slot:19; goto_swap:2; recomp_extra:2; const_ref:1; return_swap:1,,,1,2,31,,2,1,19
